Date,Close/Last,Volume,Open,High,Low
5/7/2024,$90.55,437341600,$91.10,$91.78,$89.01
5/6/2024,$92.14,376202600,$89.39,$92.22,$89.06
5/3/2024,$88.79,398340700,$87.79,$89.28,$87.04
5/2/2024,$85.82,377897500,$84.45,$86.24,$83.20
5/1/2024,$83.04,559863200,$85.08,$86.00,$81.25
04/30/2024,$86.40,363708700,$87.24,$88.82,$86.30
04/29/2024,$87.76,388970800,$87.60,$87.99,$85.27
04/26/2024,$87.74,551010800,$83.82,$88.33,$83.39
04/25/2024,$82.63,424640700,$78.87,$83.32,$78.22
04/24/2024,$79.68,512207500,$83.95,$84.08,$79.18
04/23/2024,$82.42,438559400,$80.77,$82.77,$80.26
04/22/2024,$79.52,596340500,$78.10,$80.07,$76.40
04/19/2024,$76.20,875198000,$83.15,$84.32,$75.61
04/18/2024,$84.67,447260300,$84.97,$86.19,$82.40
04/17/2024,$84.04,495399500,$88.34,$88.78,$83.95
04/16/2024,$87.42,370453000,$86.43,$88.12,$86.06
04/15/2024,$86.00,443077000,$89.10,$90.61,$85.93
4/12/2024,$88.19,426804800,$89.70,$90.18,$87.53
4/11/2024,$90.62,431637300,$87.42,$90.74,$86.93
4/10/2024,$87.04,431928500,$83.93,$87.40,$83.71
4/9/2024,$85.35,503547400,$87.44,$87.64,$83.02
4/8/2024,$87.13,283220000,$88.70,$88.83,$86.73
4/5/2024,$88.01,399678500,$86.87,$88.48,$85.93
4/4/2024,$85.91,434964900,$90.41,$90.63,$85.88
4/3/2024,$88.96,370066600,$88.48,$90.37,$88.40
4/2/2024,$89.45,433063600,$88.45,$90.09,$87.62
4/1/2024,$90.36,452441500,$90.30,$92.23,$89.20
03/28/2024,$90.36,435212300,$90.00,$91.30,$89.19
03/27/2024,$90.25,586067200,$93.11,$93.24,$89.12
03/26/2024,$92.56,513647600,$95.85,$96.38,$92.50
03/25/2024,$95.00,552136100,$93.94,$96.77,$93.51
03/22/2024,$94.29,586719400,$91.14,$94.78,$90.83
03/21/2024,$91.44,480372300,$92.30,$92.65,$90.41
03/20/2024,$90.37,479062800,$89.80,$90.41,$88.22
03/19/2024,$89.40,672171300,$86.70,$90.54,$85.01
03/18/2024,$88.46,668975900,$90.39,$92.41,$87.09
03/15/2024,$87.84,642086200,$86.93,$89.55,$86.26
03/14/2024,$87.94,602318200,$89.58,$90.65,$86.60
03/13/2024,$90.89,635712900,$91.06,$91.50,$88.44
3/12/2024,$91.91,668075200,$88.05,$91.96,$86.15
3/11/2024,$85.77,678364100,$86.43,$88.80,$84.17
3/8/2024,$87.53,1142269000,$95.14,$97.40,$86.51
3/7/2024,$92.67,608119200,$90.16,$92.77,$89.60
3/6/2024,$88.70,582520300,$88.02,$89.72,$87.03
3/5/2024,$85.96,520639300,$85.27,$86.10,$83.42
3/4/2024,$85.24,615616500,$84.13,$87.70,$83.72
3/1/2024,$82.28,479135100,$80.00,$82.30,$79.44
02/29/2024,$79.11,507289000,$79.09,$79.99,$78.35
02/28/2024,$77.66,393110400,$77.62,$78.93,$77.13
02/27/2024,$78.70,391705200,$79.38,$79.48,$77.16
02/26/2024,$79.09,503972700,$79.70,$80.65,$78.51
02/23/2024,$78.82,829388400,$80.79,$82.39,$77.57
02/22/2024,$78.54,865099700,$75.03,$78.58,$74.22
02/21/2024,$67.47,690298100,$68.01,$68.89,$66.25
02/20/2024,$69.45,704833100,$71.95,$71.96,$67.73
02/16/2024,$72.61,495326600,$74.10,$74.40,$72.50
02/15/2024,$72.66,420121800,$73.87,$73.98,$72.40
02/14/2024,$73.90,504917400,$73.20,$74.24,$71.94
02/13/2024,$72.13,602580200,$70.40,$73.45,$69.62
2/12/2024,$72.25,613710200,$72.60,$74.61,$71.25
2/9/2024,$72.13,436636900,$70.53,$72.19,$70.21
2/8/2024,$69.64,414422100,$70.07,$70.79,$69.46
2/7/2024,$70.10,495574600,$68.32,$70.22,$67.60
2/6/2024,$68.22,683111400,$69.63,$69.75,$66.30
2/5/2024,$69.33,680078000,$68.23,$69.50,$67.21
2/2/2024,$66.16,476577700,$63.97,$66.60,$63.69
2/1/2024,$63.03,369145800,$62.10,$63.19,$61.65
01/31/2024,$61.53,453794900,$61.44,$62.27,$60.70
01/30/2024,$62.77,410735300,$62.90,$63.49,$62.26
01/29/2024,$62.47,348733000,$61.23,$62.49,$60.91
01/26/2024,$61.03,390308600,$60.96,$61.78,$60.57
01/25/2024,$61.62,482776800,$62.35,$62.72,$60.85
01/24/2024,$61.36,560270800,$60.30,$62.85,$59.94
01/23/2024,$59.87,294654500,$59.57,$59.91,$58.59
01/22/2024,$59.65,452954600,$60.05,$60.33,$59.07
01/19/2024,$59.49,543501500,$57.99,$59.50,$57.23
01/18/2024,$57.11,491650400,$57.26,$57.60,$56.11
01/17/2024,$56.05,474394400,$56.35,$56.47,$54.74
01/16/2024,$56.38,449579700,$55.02,$56.84,$54.90
1/12/2024,$54.71,352993600,$54.62,$54.97,$54.33
1/11/2024,$54.82,596758800,$55.00,$55.35,$53.56
1/10/2024,$54.35,533795800,$53.62,$54.60,$53.49
1/9/2024,$53.14,773100100,$52.40,$54.33,$51.69
1/8/2024,$52.25,642509900,$49.51,$52.28,$49.48
1/5/2024,$49.10,415039300,$48.46,$49.55,$48.31
1/4/2024,$48.00,306534900,$47.77,$48.50,$47.51
1/3/2024,$47.57,320896200,$47.49,$48.18,$47.32
1/2/2024,$48.17,411254200,$49.24,$49.30,$47.60
12/29/2023,$49.52,389293300,$49.81,$50.00,$48.75
12/28/2023,$49.52,246587500,$49.64,$49.88,$49.41
12/27/2023,$49.42,233648000,$49.51,$49.68,$49.09
12/26/2023,$49.28,244199500,$48.97,$49.60,$48.96
12/22/2023,$48.83,252506800,$49.20,$49.38,$48.47
12/21/2023,$48.99,300425400,$48.81,$49.10,$48.42
12/20/2023,$48.11,397894400,$49.66,$50.00,$48.10
12/19/2023,$49.60,464444500,$49.42,$49.70,$48.90
12/18/2023,$50.08,412587200,$49.40,$50.43,$49.15
12/15/2023,$48.89,479947600,$48.19,$49.40,$48.12
12/14/2023,$48.35,391231700,$48.39,$48.67,$47.42
12/13/2023,$48.09,447791900,$47.63,$48.59,$47.61
12/12/2023,$47.66,372386900,$46.05,$47.67,$46.05
12/11/2023,$46.63,509728100,$47.49,$47.53,$45.83
12/8/2023,$47.51,359223700,$46.60,$47.74,$46.55
12/7/2023,$46.60,350822600,$45.70,$46.63,$45.60
12/6/2023,$45.50,380589600,$47.21,$47.39,$45.41
12/5/2023,$46.57,371717600,$45.47,$46.60,$45.27
12/4/2023,$45.51,437543400,$46.08,$46.08,$45.01
12/1/2023,$46.77,369317000,$46.53,$47.20,$46.19
11/30/2023,$46.77,526246600,$48.02,$48.11,$46.42
11/29/2023,$48.14,382004700,$48.38,$48.76,$47.86
11/28/2023,$47.82,401490900,$48.24,$48.32,$47.47
11/27/2023,$48.24,395661900,$47.80,$48.53,$47.65
11/24/2023,$47.78,294644600,$48.47,$48.92,$47.75
11/22/2023,$48.72,900642300,$49.85,$50.33,$47.69
11/21/2023,$49.94,565746900,$50.13,$50.52,$49.22
11/20/2023,$50.41,416142600,$49.31,$50.55,$49.18
11/17/2023,$49.30,325896900,$49.52,$49.72,$49.01
11/16/2023,$49.48,339756200,$48.68,$49.52,$48.33
11/15/2023,$48.89,475497400,$49.94,$49.96,$48.20
11/14/2023,$49.66,416953900,$49.68,$49.83,$49.04
11/13/2023,$48.62,384135700,$48.32,$49.12,$48.10
11/10/2023,$48.34,422441600,$47.50,$48.47,$47.28
11/9/2023,$46.95,540496000,$47.47,$48.23,$46.75
11/8/2023,$46.57,346718900,$46.10,$46.87,$45.97
11/7/2023,$45.96,343165500,$45.72,$46.22,$45.16
11/6/2023,$45.75,400733400,$45.28,$45.94,$44.90
11/3/2023,$45.01,424609600,$44.02,$45.31,$43.72
11/2/2023,$43.51,409171900,$43.33,$43.88,$42.89
11/1/2023,$42.33,437592900,$40.88,$42.38,$40.87
10/31/2023,$40.78,517968700,$40.45,$40.88,$39.23
10/30/2023,$41.16,388028100,$41.09,$41.77,$40.48
10/27/2023,$40.50,416784400,$41.13,$41.21,$40.02
10/26/2023,$40.33,541001300,$41.85,$42.26,$39.88
10/25/2023,$41.78,398379200,$43.40,$43.65,$41.56
10/24/2023,$43.66,401463400,$43.08,$43.70,$42.69
10/23/2023,$42.98,478530500,$41.23,$43.25,$40.95
10/20/2023,$41.39,477266100,$41.89,$42.47,$41.08
10/19/2023,$42.10,501233100,$42.81,$43.30,$41.88
10/18/2023,$42.20,627294300,$42.59,$43.22,$41.83
10/17/2023,$43.94,812332700,$44.00,$44.75,$42.48
10/16/2023,$46.10,375099200,$45.06,$46.23,$44.91
10/13/2023,$45.46,475426000,$46.96,$47.12,$45.28
10/12/2023,$46.95,481325000,$46.78,$47.61,$46.33
10/11/2023,$46.81,378136900,$46.20,$46.86,$46.05
10/10/2023,$45.80,368582100,$45.31,$46.26,$45.09
10/9/2023,$45.27,409674700,$44.84,$45.61,$44.37
10/6/2023,$45.76,434436000,$44.19,$45.79,$44.03
10/5/2023,$44.69,393483100,$44.05,$44.90,$43.89
10/4/2023,$44.04,361820900,$43.74,$44.14,$43.29
10/3/2023,$43.52,470849500,$44.81,$45.13,$43.25
10/2/2023,$44.78,433298200,$44.03,$45.18,$43.86
